STATION,YEAR,MONTH,V1,F1,V2,F2,V3,F3,V4,F4,V5,F5,V6,F6,V7,F7,V8,F8,V9,F9,V10,F10,V11,F11,V12,F12,V13,F13,V14,F14,V15,F15,V16,F16,V17,F17,V18,F18,V19,F19,V20,F20,V21,F21,V22,F22,V23,F23,V24,F24,V25,F25,V26,F26,V27,F27,V28,F28,V29,F29,V30,F30,V31,F31
270165,1955,5,0,,0,,0,,0,,0,,0,,0,,0,,1.1,,0,,0,,0,,0.7,,0,,0,,0,,24.8,,26.3,,2.8,,0,,0,,11.8,,0.6,,11.1,,0,,1.4,,4.2,,0,,24.6,,0,,3.9,
270165,1955,6,8.5,,0,,3.7,,0,,0,,0.2,,0.8,,10.4,,0,,10.6,,0.6,,0,,18,,10.2,,0,,1.9,,0,,7.7,,0,,0,,13,,7.9,,0,,14.8,,13.9,,0,,0,,0.1,,2.3,,0.1,,-999.9,M
270165,1955,7,0,,0,,0,,3.9,,0,,0,,52.5,,1.2,,24,,0,,2,,8,,0,,0,,10,,11.4,,0,,0,,145.7,,0,,0,,28.7,,14.7,,0.3,,2.9,,24.9,,7.3,,11.6,,13.8,,0.7,,10,
270165,1955,8,0,,41.2,,3.8,,0,,1.1,,24.9,,0,,28.9,,4.8,,5.8,,0.3,,20.4,,1.7,,24.3,,17.7,,15.3,,27.7,,0.5,,19,,0,,9.9,,10,,0,,0,,1,,7,,1.2,,9,,0.4,,5.3,,4.1,
270165,1955,9,0,,21.4,,12.2,,12.3,,0,,1.8,,2.6,,7.5,,0,,21.4,,22,,0.4,,0,,14.5,,4.3,,1.4,,17.6,,2.5,,0,,1,,1.8,,0,,11.5,,17.9,,6.3,,0,,24.5,,57.2,,11.9,,16.7,,-999.9,M
270165,1955,10,0,,0,,0,,16.3,,0,,7.1,,21,,4.5,,0,,0,,5.1,,0,,0.8,,0.7,,0,,0,,0,,0,,0.9,,12.1,,0,,0,,0,,0,,0.5,,0.4,,0.9,,4.2,,5.5,,0,,0,
270165,1955,11,0,,5.6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,-999.9,M
270165,1955,12,0,,0,,0,,0,,22.4,,9,,5.7,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
270165,1956,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
270165,1956,2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.7,,0,,0,,0,,0,,0,,1.1,,0.4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,-999.9,M,-999.9,M
